pos_n,row_n,row_n_fixed,col_n,col_n_fixed,row,col,distance
25563,7,8,188,188,myrtaea curta,myrtea curta,1
112415,31,32,40,40,pleuromeris inflator,pleuromeris inflatior,1
141407,39,40,32,32,pleuromeris inflatior,pleuromeris inflator,1
294417,81,82,792,792,syncyclonema haggi,syncyclonema haeggi,1
441211,121,122,2586,2586,nemocardium nicolletti,nemocardium nicoletti,1
462933,127,128,2558,2558,calorhadia equalis,calorhadia aequalis,1
677883,187,188,8,8,myrtea curta,myrtaea curta,1
2867457,791,792,82,82,syncyclonema haeggi,syncyclonema haggi,1
2899884,799,800,3509,3509,pholadomya esmarki,pholadomya esmarcki,1
7539202,2079,2080,2827,2827,venericardia semiinflata,venericardia seminflata,1
9269253,2557,2558,128,128,calorhadia aequalis,calorhadia equalis,1
9370747,2585,2586,122,122,nemocardium nicoletti,nemocardium nicolletti,1
10246330,2826,2827,2080,2080,venericardia seminflata,venericardia semiinflata,1
12717300,3508,3509,800,800,pholadomya esmarcki,pholadomya esmarki,1
3662,1,2,37,37,nucula smithvillensis,nuculana smithvillensis,2
43541,12,13,41,41,alveinus minutus,alveinus sinutus,2
130502,36,37,2,2,nuculana smithvillensis,nucula smithvillensis,2
145013,40,41,13,13,alveinus sinutus,alveinus minutus,2
164242,45,46,1117,1117,anomia ornata,anomia inornata,2
192562,53,54,437,437,caestocorbula crassiplica,caestocorbula crassaplica,2
264730,73,74,105,105,pycnodonte vesicularis,pycnodonta vesicularis,2
377074,104,105,74,74,pycnodonta vesicularis,pycnodonte vesicularis,2
417567,115,116,692,692,glycymeris filosa,glycymeris pilosa,2
511617,141,142,492,492,miltha pandata,eomiltha pandata,2
1580554,436,437,54,54,caestocorbula crassaplica,caestocorbula crassiplica,2
1780017,491,492,142,142,eomiltha pandata,miltha pandata,2
1990676,549,550,551,551,venericardia moa,venericardia eoa,2
1994300,550,551,550,550,venericardia eoa,venericardia moa,2
2306505,636,637,1005,1005,abra petropolitana,arca petropolitana,2
2504991,691,692,116,116,glycymeris pilosa,glycymeris filosa,2
3640137,1004,1005,637,637,arca petropolitana,abra petropolitana,2
4045546,1116,1117,46,46,anomia inornata,anomia ornata,2
4670539,1288,1289,1539,1539,pitar yasila,pitaria yasila,2
4899866,1351,1352,2491,2491,corbicula arnoldi,corbula arnoldi,2
5576539,1538,1539,1289,1289,pitaria yasila,pitar yasila,2
6919120,1908,1909,2620,2620,astarte parvula,astarte parva,2
7550709,2082,2083,3459,3459,lucina metablata,lucina metableta,2
8502998,2345,2346,2373,2373,meekia sella,meekia bella,2
8600846,2372,2373,2346,2346,meekia bella,meekia sella,2
9027602,2490,2491,1352,1352,corbula arnoldi,corbicula arnoldi,2
9495784,2619,2620,1909,1909,astarte parva,astarte parvula,2
12537333,3458,3459,2083,2083,lucina metableta,lucina metablata,2
36,0,3626,36,36,NA,nuculana spheniopsis,3
87143,24,25,143,143,venericardia apodensata,venericardia densata,3
126876,35,36,1,1,nuculana spheniopsis,nucula sphenopsis,3
365947,100,101,3447,3447,cardium subperobliquum,cardium perobliquum,3
507987,140,141,487,487,lucina pomilia,linga pomilia,3
514775,142,143,25,25,venericardia densata,venericardia apodensata,3
628843,173,174,1718,1718,nucula ovula,nucula nova,3
761137,209,210,3512,3512,clisocolus dubius,clisocolus indubitus,3
850007,234,235,1757,1757,cucullaea glabra,cucullaea subglabra,3
932092,257,258,467,467,inoceramus fragilis,inoceramus prefragilis,3
958174,264,265,1174,1174,pholadomya elongata,pholadomya subelongata,3
1057208,291,292,2333,2333,venericardia smithii,venericardia aposmithii,3
1311157,361,362,2532,2532,donax parisiensis,donax parinensis,3
1689508,466,467,258,258,inoceramus prefragilis,inoceramus fragilis,3
1742560,480,481,2560,2560,bathytormus protextus,bathytormus protexta,3
1761891,486,487,141,141,linga pomilia,lucina pomilia,3
1784045,492,493,545,545,venericardia carolinensis,venericardia carsonensis,3
1833376,505,506,2751,2751,glycymeris sagittata,glycymerita sagittata,3
1972493,544,545,493,493,venericardia carsonensis,venericardia carolinensis,3
2266252,625,626,627,627,inoceramus subsulcatus,inoceramus sulcatus,3
2269876,626,627,626,626,inoceramus sulcatus,inoceramus subsulcatus,3
2373010,654,655,2260,2260,cubitostrea plicata,cubitostrea perplicata,3
2533111,698,699,2861,2861,cardita arduini,cardita dupini,3
2802900,773,774,775,775,eoradiolites plicatus,eoradiolites liratus,3
2806524,774,775,774,774,eoradiolites liratus,eoradiolites plicatus,3
2858218,788,789,1718,1718,nucula ovata,nucula nova,3
3205981,884,885,1481,1481,cyclocardia hannibali,cyclocardia hannai,3
3293529,908,909,2029,2029,anadara montereyana,anadara submontereyana,3
3485743,961,962,2118,2118,lucina divaricata,lucinella divaricata,3
3554423,980,981,1923,1923,myrtea ezoensis,mya ezoensis,3
3664714,1010,1011,3464,3464,anomia lisbonensis,anomia linensis,3
4252390,1173,1174,265,265,pholadomya subelongata,pholadomya elongata,3
4296812,1185,1186,1187,1187,aucella okensis,aucella subokensis,3
4300436,1186,1187,1186,1186,aucella subokensis,aucella okensis,3
4538279,1251,1252,3404,3404,limarca angustifrons,marcia angustifrons,3
5142182,1418,1419,1932,1932,venericardia subnipponica,venericardia nipponica,3
5365885,1480,1481,885,885,cyclocardia hannai,cyclocardia hannibali,3
5542266,1528,1529,3266,3266,macrocallista inca,macrocallista tia,3
