parameter,Estimate,Est.Error,Q2.5,Q97.5
b_Intercept,27.785988377802553,21.218644561045814,10.34935298710578,82.34555524649947
sd_fml__Intercept,1.9230088979030524,1.767405548182515,0.07431199228625823,6.474878800727465
sd_fml__pocn_temp_scaled,1.0675952349560034,1.0153030817497546,0.03150951277228643,3.6895945445160856
sd_tna_trimmed__Intercept,1.8376741196211903,1.6999860931223354,0.0660836787456292,6.143827850439198
sd_tna_trimmed__pocn_temp_scaled,1.0368786967389325,1.0061439148108526,0.040514558481844654,3.5449228440277385
cor_fml__Intercept__pocn_temp_scaled,0.04560672842687316,0.5767548840705209,-0.9448540129652382,0.9473106308817091
cor_tna_trimmed__Intercept__pocn_temp_scaled,0.046279406952583625,0.5798574054685474,-0.9466752755076221,0.9607666959739789
"r_fml[Anomiidae,Intercept]",0.04947699272379921,2.5891207492932575,-5.445583870726102,5.490473491103678
"r_fml[Antillocaprinidae,Intercept]",-0.04929415779053933,2.671333240450651,-5.713829836019484,5.297765037075119
"r_fml[Arcidae,Intercept]",0.024378127943791083,2.5450402531404888,-5.397809107250006,5.5812974619725715
"r_fml[Arcticidae,Intercept]",0.0021558709085650264,2.5635237773265613,-5.262325104251804,5.221868801669195
"r_fml[Astartidae,Intercept]",0.011002458776030519,2.6076650417751956,-5.685899115274085,5.790957956835613
"r_fml[Bakevelliidae,Intercept]",-0.005117956312517209,2.5885146162746717,-5.181782205461177,5.241466057287677
"r_fml[Buchiidae,Intercept]",0.006035212735545557,2.5526694322459296,-5.381101846370361,5.476218372593214
"r_fml[Cardiidae,Intercept]",0.07799572784026913,2.5624310049406325,-5.163569715407847,5.635896870209902
"r_fml[Cardiolariidae,Intercept]",0.017916487930296914,2.5266864928606503,-5.542135946370165,5.307949672926526
"r_fml[Carditidae,Intercept]",-0.11710813934976674,2.5005993496746637,-5.697385795219922,4.929580481518328
"r_fml[Condylocardiidae,Intercept]",-0.02186649633360759,2.6420065663042362,-5.625735182218179,5.387064902248552
"r_fml[Corbiculidae,Intercept]",0.043934957045102065,2.650826679395452,-5.144422509488701,5.757530011095085
"r_fml[Corbulidae,Intercept]",0.023094650740027933,2.4575929094246516,-5.297197000708846,5.5173123998189775
"r_fml[Crassatellidae,Intercept]",0.046160118753009675,2.5784588097791117,-5.271290272834681,5.804103261486233
"r_fml[Cucullaeidae,Intercept]",0.0337565504084301,2.558619842934162,-5.290455349613218,5.458747605134017
"r_fml[Cuspidariidae,Intercept]",0.030282437340298046,2.6006538970377115,-5.299591350070607,5.441649313125389
"r_fml[Dimyidae,Intercept]",0.055903862554299834,2.6170554029992577,-5.242940944683689,5.338156416201522
"r_fml[Donacidae,Intercept]",-0.04750907967113859,2.5936197381641333,-5.623573350896131,5.139351681521591
"r_fml[Entoliidae,Intercept]",0.013884036085141776,2.681712825851618,-5.599697493185255,5.542265725317203
"r_fml[Flemingostreidae,Intercept]",0.026172602008525597,2.6547386869598206,-5.306107571481579,5.531037496479443
"r_fml[Glycymerididae,Intercept]",0.08065958640919155,2.560110394932369,-4.926757277971248,5.720828946970517
"r_fml[Gryphaeidae,Intercept]",-5.409916206612028e-4,2.584516264216216,-5.446167139855174,5.050515204322737
"r_fml[Hiatellidae,Intercept]",0.02633951089650093,2.6773184884245618,-5.547312718899622,5.548112466529579
"r_fml[Hippuritidae,Intercept]",0.047884217929564134,2.5247720174669657,-5.004148742248878,5.700824339081882
"r_fml[Inoceramidae,Intercept]",0.05906004512980804,2.5788848622033944,-5.172150174613485,5.535412690615347
"r_fml[Jilinoconchidae,Intercept]",0.012851142994186793,2.609889263229548,-5.2657965957150115,5.6399353314659155
"r_fml[Lahillidae,Intercept]",0.03067934383791381,2.589423392475815,-5.00694843345988,5.385174681235938
"r_fml[Laternulidae,Intercept]",0.052895820241731395,2.5697049275081794,-5.195600268078067,5.608499995137346
"r_fml[Limidae,Intercept]",0.03182243545290172,2.5544458221816533,-5.235914663468161,5.257461996252987
"r_fml[Lucinidae,Intercept]",-0.011799417291362559,2.5306089241319314,-5.4336852738714985,5.405055928579862
"r_fml[Mactridae,Intercept]",-0.010201675916777299,2.519904868357589,-5.441343274036917,5.437512929985785
"r_fml[Mactromyidae,Intercept]",-0.04878998328710902,2.6049372279521936,-5.541850545908907,5.095722360742203
"r_fml[Malletiidae,Intercept]",0.038788095447393686,2.6005834951130016,-5.110191752960724,5.580770993832432
"r_fml[Megatrigoniidae,Intercept]",-0.004111889000039603,2.5942912336029105,-5.401935618750891,5.323668756453331
"r_fml[Monopleuridae,Intercept]",-0.056908018265047655,2.5023021214774777,-5.451270110058526,5.204164376336063
"r_fml[Mytilidae,Intercept]",0.047042504680821176,2.5751028552866297,-5.153445141993941,5.601401943380204
"r_fml[Neitheidae,Intercept]",0.03309361236709863,2.612795440332006,-5.263571156703032,5.584197755359095
"r_fml[Nuculanidae,Intercept]",0.014680914407264328,2.5232045217284007,-5.205152506094287,5.124401228714983
"r_fml[Nuculidae,Intercept]",0.04134959581408889,2.566602980962721,-5.219244336910047,5.363966517373069
"r_fml[Ostreidae,Intercept]",0.012628754662504052,2.598513204622871,-5.3759284704401935,5.3743477002057105
"r_fml[Oxytomidae,Intercept]",-0.026098264804188896,2.5424692936288538,-5.327193095145851,5.197745133788868
"r_fml[Parallelodontidae,Intercept]",0.012451543807069742,2.5195410566505534,-5.158321321955321,5.299338204820259
"r_fml[Pectinidae,Intercept]",0.04619840366166738,2.551276245728356,-5.293905433576189,5.554876059735257
"r_fml[Pharidae,Intercept]",0.027896866076102356,2.4104734381531934,-5.257951152904026,5.080991220482535
"r_fml[Pholadomyidae,Intercept]",0.07884814275779355,2.6383818883705517,-5.286921819926638,5.558625409148796
"r_fml[Pinnidae,Intercept]",-0.01949962359648117,2.5486275228690762,-5.359515216494486,5.350314616297819
"r_fml[Plagioptychidae,Intercept]",0.05250341988249657,2.4504367996672456,-5.317583208161544,5.122068634471152
"r_fml[Pleuromyidae,Intercept]",0.01639826432694326,2.644830522042625,-5.341304219973466,5.914048801999906
"r_fml[Plicatulidae,Intercept]",-0.0020048715833545167,2.6311873639200862,-5.524287144712998,5.523681134420163
"r_fml[Poromyidae,Intercept]",-0.01778800486932155,2.5579207214767514,-5.503123725531847,5.146880064986095
"r_fml[Propeamussiidae,Intercept]",0.01684346870119805,2.5316789419740338,-5.357797300878873,5.4090118851349756
"r_fml[Radiolitidae,Intercept]",0.07800740043963715,2.5934263067794796,-4.935547462400618,5.464798240499575
"r_fml[Sareptidae,Intercept]",-0.02421719956790012,2.538142481831731,-5.594933168018497,5.291331755040119
"r_fml[Spondylidae,Intercept]",-0.012053987581173226,2.7609185821638107,-5.9565300102602565,5.554186495771494
"r_fml[Steinmanellidae,Intercept]",-0.02110836640851736,2.610363421338634,-5.324467859368049,5.413648175296353
"r_fml[Tancrediidae,Intercept]",0.00575056593669514,2.60208734516981,-5.340871787365354,5.460242467185302
"r_fml[Tellinidae,Intercept]",0.020122825400081194,2.5580618838216425,-5.280017826653761,5.501173075060459
"r_fml[Terquemiidae,Intercept]",0.014280150726128,2.6450165615798036,-5.411567025089142,5.3948829197418755
"r_fml[Thyasiridae,Intercept]",-0.015361632763204007,2.6056038959457855,-5.261639336002624,5.503458434152447
"r_fml[Trechmannellidae,Intercept]",0.050194179177175564,2.6327440201002155,-5.386089998323866,5.591417371668439
"r_fml[Trigoniidae,Intercept]",0.0230903173122668,2.5920424907386828,-5.215438450047814,5.426729743046136
"r_fml[Unionidae,Intercept]",-0.0013031689094832035,2.490092789787332,-5.162461230169818,5.373666387441279
"r_fml[Veneridae,Intercept]",-0.006945466640640374,2.5838611847695874,-5.236463113973021,5.388508097039007
"r_fml[Yoldiidae,Intercept]",0.04808800483726947,2.604360570541549,-5.099734063608273,5.677155601362031
"r_fml[Anomiidae,pocn_temp_scaled]",-6.177436857057824e-4,1.429596862863116,-3.020262282714834,3.010754462531886
"r_fml[Antillocaprinidae,pocn_temp_scaled]",-0.014556441465636396,1.5322947566183556,-3.1363610522083922,3.0504742586576774
"r_fml[Arcidae,pocn_temp_scaled]",0.003512152847903901,1.4493315208921937,-3.001310635052357,3.020885644795471
"r_fml[Arcticidae,pocn_temp_scaled]",-0.013905248573249564,1.4824950774953733,-3.0358282038553654,3.067604679385891
"r_fml[Astartidae,pocn_temp_scaled]",-0.02170840767012739,1.4316661180833452,-3.1123643818333515,2.9789121377819727
"r_fml[Bakevelliidae,pocn_temp_scaled]",0.01638497927110669,1.4956615528126236,-3.0119510438392596,3.1660322517848822
"r_fml[Buchiidae,pocn_temp_scaled]",-0.05091599996127303,1.3405303067567775,-3.0941873727039666,2.6837214354851104
"r_fml[Cardiidae,pocn_temp_scaled]",0.015970368975068365,1.4968413093516064,-3.018522856137404,3.196126531499507
